Commit,Copilot Prompt,Manuelle Hinweise
"1 – Schema + Validator Modul einführen","Create two modules for the reportgen pipeline: schema.py and validator.py. The schema module should define a simple schema for CSV rows (required columns, expected types). The validator module should validate loaded records against that schema and raise descriptive exceptions if columns are missing or values have wrong types. Keep the implementation minimal and dependency-free.","Neue Dateien unter src/reportgen/ erstellen. In pipeline.py den Validator nach dem CSV-Laden aufrufen (load → validate → render)."
"2 – Transform-Layer hinzufügen","Implement a transform.py module for the reportgen pipeline. It should normalize data after validation: trim whitespace, convert numeric fields, optionally format dates, and return a clean dictionary used by the template renderer. Integrate it into the pipeline between validation and rendering.","Pipeline-Schrittfolge ändern: load → validate → transform → render → generate."
"3 – End-to-End Test erstellen","Create a pytest end-to-end test for the reportgen CLI. The test should run the pipeline on examples/minimal.csv, render a PDF using the minimal template, and assert that the PDF file exists in a temporary output directory.","Datei tests/test_pipeline_e2e.py erstellen. pytest tmp_path Fixture nutzen. Nur Existenz der PDF prüfen."
"4 – Unit-Tests für Loader und Validator","Add pytest unit tests for CSV loading and validation. Test cases should cover valid input, missing required columns, and invalid numeric values.","Tests unter tests/test_loader.py und tests/test_validator.py. Kleine Test-CSV ggf. im Test erzeugen."
"5 – Zweites Template hinzufügen","Add a second example template called invoice. It should contain a minimal HTML structure with CSS and placeholders for name, amount, and date. Ensure the CLI can select templates by path.","Ordner templates/invoice/ anlegen. Datei template.html erstellen. Optional style.css."
"6 – Beispiel-Outputs dokumentieren","Update README with a section 'Example Output' explaining how to generate a sample PDF from examples/minimal.csv using the CLI.","README erweitern: Quickstart, CLI-Beispiel, Input-Format der CSV."
"7 – GitHub Actions CI","Create a GitHub Actions workflow for Python. It should install dependencies and run pytest on every push to main and pull request.","Datei .github/workflows/tests.yml erstellen. Python 3.12 verwenden."
"8 – Dockerfile für CLI Tool","Create a minimal Dockerfile that packages the reportgen CLI. It should install dependencies and allow running the tool via docker run reportgen …","Basisimage python:3.12-slim. WORKDIR /app. pip install ."
"9 – docker-compose für Batch-Nutzung","Create a docker-compose service that mounts a host directory containing CSV files and outputs generated PDFs to another directory.","docker-compose.yml mit Volume mounts für input/ und output/."
"10 – Branch für Web-Batch-UI vorbereiten","Prepare project structure for a future FastAPI service that exposes the report generation as an HTTP endpoint. Do not implement the API yet, only add a placeholder module.","Branch feature/web-batch-ui erstellen. Ordner src/reportgen/web/ anlegen."
